rollno,name,year,semester,matrices and calculus,engineering chemistry,programming for problem solving,basic electrical engineering,computer aided engineering graphics,elements of computer science & engineering,engineering chemistry laboratory,programming for problem solving laboratory,basic electrical engineering laboratory,semester_gpa,calculated_cgpa,ordinary differential equations and vector calculus,applied physics,engineering workshop,english for skill enhancement,electronic devices and circuits,python programming laboratory,applied physics laboratory,english language and communication skills laboratory,it workshop,environmental science,digital electronics,data structures,computer oriented statistical methods,computer organization and architecture,object oriented programming through java,data structures lab,object oriented programming through java lab,data visualization- r programming/ power bi,gender sensitization lab,discrete mathematics,business economics & financial analysis,operating systems,database management systems,software engineering,operating systems lab,database management systems lab,real-time research project/ societal related project,node js/ react js/ django,constitution of india,design and analysis of algorithms,computer networks,devops,professional elective-i,professional elective -ii,computer networks lab,devops lab,advanced english communication skills lab,ui design- flutter,intellectual property rights,machine learning,formal languages and automata theory,artificial intelligence,professional elective – iii,open elective-i,machine learning lab,artificial intelligence laboratory,professional elective-iii lab,industrial oriented mini project/ internship/ skill development course (big data-spark),cryptography and network security,compiler design,professional elective -iv,professional elective -v,open elective - ii,cryptography and network security lab,compiler design lab,project stage - i,organizational behavior,professional elective – vi,open elective – iii,project stage – ii including seminar,status
HT1016,Varun,2,1,,,,,,,,,,9.78,9.13,,,,,,,,,,,100.0,95.0,97.0,87.0,100.0,96.0,89.0,92.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1017,Shreya,2,1,,,,,,,,,,7.85,8.38,,,,,,,,,,,75.0,77.0,74.0,69.0,75.0,73.0,72.0,78.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1018,Amit,2,1,,,,,,,,,,8.62,7.42,,,,,,,,,,,78.0,79.0,86.0,84.0,81.0,77.0,85.0,84.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1019,Ritu,2,1,,,,,,,,,,7.47,8.1,,,,,,,,,,,68.0,65.0,71.0,73.0,66.0,70.0,67.0,72.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1000,Aarav,2,2,,,,,,,,,,7.1,8.36,,,,,,,,,,,,,,,,,,,,64.0,59.0,60.0,69.0,74.0,65.0,72.0,63.0,72.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1001,Ananya,2,2,,,,,,,,,,7.8,8.08,,,,,,,,,,,,,,,,,,,,80.0,68.0,79.0,65.0,75.0,77.0,70.0,71.0,63.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1002,Rohan,2,2,,,,,,,,,,7.6,8.93,,,,,,,,,,,,,,,,,,,,64.0,67.0,76.0,78.0,68.0,75.0,76.0,87.0,68.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1003,Sneha,2,2,,,,,,,,,,9.3,8.17,,,,,,,,,,,,,,,,,,,,91.0,83.0,93.0,80.0,86.0,73.0,83.0,81.0,92.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1004,Karthik,2,2,,,,,,,,,,9.55,9.19,,,,,,,,,,,,,,,,,,,,84.0,91.0,93.0,89.0,91.0,94.0,93.0,89.0,89.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1005,Pooja,2,2,,,,,,,,,,8.2,8.8,,,,,,,,,,,,,,,,,,,,73.0,83.0,77.0,75.0,78.0,76.0,76.0,79.0,81.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1006,Rahul,2,2,,,,,,,,,,8.3,8.61,,,,,,,,,,,,,,,,,,,,72.0,72.0,83.0,73.0,79.0,78.0,88.0,85.0,72.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1007,Neha,2,2,,,,,,,,,,9.6,8.73,,,,,,,,,,,,,,,,,,,,89.0,92.0,93.0,90.0,85.0,97.0,81.0,90.0,83.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1008,Arjun,2,2,,,,,,,,,,7.95,8.65,,,,,,,,,,,,,,,,,,,,73.0,86.0,79.0,69.0,70.0,79.0,69.0,71.0,75.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1009,Divya,2,2,,,,,,,,,,9.25,9.28,,,,,,,,,,,,,,,,,,,,89.0,86.0,90.0,84.0,90.0,78.0,81.0,88.0,87.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1010,Suresh,2,2,,,,,,,,,,10.0,8.9,,,,,,,,,,,,,,,,,,,,98.0,97.0,94.0,92.0,100.0,97.0,100.0,95.0,91.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1011,Priya,2,2,,,,,,,,,,7.0,8.33,,,,,,,,,,,,,,,,,,,,63.0,54.0,69.0,71.0,67.0,63.0,69.0,68.0,62.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1012,Manoj,2,2,,,,,,,,,,9.7,9.0,,,,,,,,,,,,,,,,,,,,89.0,99.0,96.0,89.0,99.0,94.0,98.0,100.0,95.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1013,Kavya,2,2,,,,,,,,,,8.75,8.81,,,,,,,,,,,,,,,,,,,,83.0,77.0,83.0,76.0,80.0,87.0,90.0,87.0,84.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1014,Nikhil,2,2,,,,,,,,,,9.05,8.07,,,,,,,,,,,,,,,,,,,,81.0,83.0,85.0,89.0,83.0,83.0,93.0,83.0,80.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1015,Meena,2,2,,,,,,,,,,7.35,8.2,,,,,,,,,,,,,,,,,,,,59.0,70.0,62.0,70.0,71.0,67.0,67.0,60.0,77.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1016,Varun,2,2,,,,,,,,,,8.4,8.95,,,,,,,,,,,,,,,,,,,,85.0,73.0,78.0,81.0,71.0,75.0,81.0,77.0,82.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1017,Shreya,2,2,,,,,,,,,,9.5,8.66,,,,,,,,,,,,,,,,,,,,88.0,97.0,85.0,94.0,81.0,98.0,85.0,91.0,90.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1018,Amit,2,2,,,,,,,,,,7.7,7.49,,,,,,,,,,,,,,,,,,,,77.0,67.0,73.0,69.0,71.0,78.0,72.0,75.0,75.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1019,Ritu,2,2,,,,,,,,,,9.95,8.56,,,,,,,,,,,,,,,,,,,,92.0,95.0,99.0,97.0,94.0,85.0,95.0,96.0,93.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Present
HT1000,Aarav,3,1,,,,,,,,,,9.5,8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,94.0,88.0,89.0,89.0,89.0,92.0,95.0,92.0,98.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1001,Ananya,3,1,,,,,,,,,,9.6,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,90.0,93.0,87.0,94.0,86.0,93.0,98.0,96.0,95.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1002,Rohan,3,1,,,,,,,,,,8.85,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,96.0,76.0,87.0,79.0,92.0,71.0,87.0,87.0,89.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1003,Sneha,3,1,,,,,,,,,,9.75,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,97.0,92.0,88.0,90.0,89.0,87.0,92.0,93.0,95.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1004,Karthik,3,1,,,,,,,,,,8.2,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,73.0,81.0,79.0,79.0,74.0,83.0,75.0,75.0,66.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1005,Pooja,3,1,,,,,,,,,,9.55,8.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,93.0,81.0,85.0,90.0,88.0,82.0,93.0,81.0,80.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1006,Rahul,3,1,,,,,,,,,,9.75,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,91.0,90.0,88.0,91.0,90.0,94.0,83.0,89.0,86.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1007,Neha,3,1,,,,,,,,,,9.3,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,83.0,88.0,86.0,81.0,94.0,91.0,89.0,83.0,97.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1008,Arjun,3,1,,,,,,,,,,7.8,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,73.0,78.0,67.0,75.0,66.0,74.0,80.0,64.0,70.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1009,Divya,3,1,,,,,,,,,,9.6,9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,83.0,92.0,96.0,87.0,92.0,91.0,84.0,88.0,87.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1010,Suresh,3,1,,,,,,,,,,9.4,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,86.0,84.0,87.0,83.0,90.0,92.0,91.0,92.0,86.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1011,Priya,3,1,,,,,,,,,,6.9,8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,69.0,71.0,62.0,57.0,66.0,59.0,68.0,57.0,71.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1012,Manoj,3,1,,,,,,,,,,8.7,8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,76.0,77.0,87.0,80.0,84.0,78.0,92.0,83.0,76.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1013,Kavya,3,1,,,,,,,,,,9.15,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,88.0,89.0,92.0,88.0,89.0,86.0,88.0,83.0,91.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1014,Nikhil,3,1,,,,,,,,,,8.05,8.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,77.0,80.0,72.0,68.0,78.0,71.0,76.0,83.0,73.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1015,Meena,3,1,,,,,,,,,,7.35,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,66.0,68.0,63.0,77.0,61.0,71.0,57.0,62.0,63.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1016,Varun,3,1,,,,,,,,,,7.55,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,73.0,69.0,74.0,78.0,75.0,66.0,74.0,69.0,69.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1017,Shreya,3,1,,,,,,,,,,8.8,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,83.0,74.0,88.0,89.0,80.0,86.0,79.0,84.0,93.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1018,Amit,3,1,,,,,,,,,,9.65,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,84.0,100.0,99.0,93.0,96.0,100.0,92.0,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1019,Ritu,3,1,,,,,,,,,,8.25,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,79.0,84.0,78.0,74.0,80.0,83.0,72.0,72.0,84.0,,,,,,,,,,,,,,,,,,,,,,Present
HT1000,Aarav,3,2,,,,,,,,,,7.9,8.47,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,75.0,64.0,64.0,71.0,73.0,78.0,86.0,70.0,,,,,,,,,,,,,Present
HT1001,Ananya,3,2,,,,,,,,,,8.1,8.34,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,80.0,71.0,74.0,74.0,72.0,65.0,75.0,76.0,,,,,,,,,,,,,Present
HT1002,Rohan,3,2,,,,,,,,,,9.65,9.04,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,97.0,82.0,84.0,92.0,97.0,100.0,88.0,92.0,,,,,,,,,,,,,Present
HT1003,Sneha,3,2,,,,,,,,,,9.45,8.65,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,83.0,90.0,81.0,94.0,87.0,90.0,79.0,85.0,,,,,,,,,,,,,Present
HT1004,Karthik,3,2,,,,,,,,,,7.1,8.68,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,64.0,63.0,71.0,61.0,63.0,69.0,58.0,60.0,,,,,,,,,,,,,Present
HT1005,Pooja,3,2,,,,,,,,,,9.9,9.11,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,91.0,96.0,96.0,94.0,86.0,89.0,96.0,91.0,,,,,,,,,,,,,Present
HT1006,Rahul,3,2,,,,,,,,,,7.8,8.66,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,66.0,79.0,74.0,74.0,69.0,75.0,78.0,76.0,,,,,,,,,,,,,Present
HT1007,Neha,3,2,,,,,,,,,,7.05,8.55,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,68.0,65.0,67.0,67.0,55.0,65.0,66.0,70.0,,,,,,,,,,,,,Present
HT1008,Arjun,3,2,,,,,,,,,,7.65,8.34,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,63.0,81.0,67.0,64.0,76.0,70.0,65.0,74.0,,,,,,,,,,,,,Present
HT1009,Divya,3,2,,,,,,,,,,7.1,8.97,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,71.0,61.0,60.0,69.0,68.0,70.0,70.0,67.0,,,,,,,,,,,,,Present
HT1010,Suresh,3,2,,,,,,,,,,7.05,8.68,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,69.0,69.0,65.0,66.0,55.0,57.0,66.0,61.0,,,,,,,,,,,,,Present
HT1011,Priya,3,2,,,,,,,,,,8.4,8.1,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,74.0,71.0,73.0,87.0,82.0,75.0,82.0,75.0,,,,,,,,,,,,,Present
HT1012,Manoj,3,2,,,,,,,,,,8.3,8.83,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,81.0,77.0,79.0,69.0,74.0,88.0,76.0,84.0,,,,,,,,,,,,,Present
HT1013,Kavya,3,2,,,,,,,,,,8.35,8.79,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,78.0,71.0,80.0,82.0,90.0,76.0,83.0,62.0,,,,,,,,,,,,,Present
HT1014,Nikhil,3,2,,,,,,,,,,9.3,8.28,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,94.0,88.0,84.0,88.0,81.0,89.0,86.0,88.0,,,,,,,,,,,,,Present
HT1015,Meena,3,2,,,,,,,,,,8.9,8.18,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,83.0,84.0,91.0,75.0,89.0,82.0,82.0,73.0,,,,,,,,,,,,,Present
HT1016,Varun,3,2,,,,,,,,,,9.65,8.83,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,90.0,93.0,91.0,92.0,95.0,89.0,87.0,83.0,,,,,,,,,,,,,Present
HT1017,Shreya,3,2,,,,,,,,,,7.9,8.55,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,67.0,80.0,71.0,68.0,80.0,74.0,73.0,78.0,,,,,,,,,,,,,Present
HT1018,Amit,3,2,,,,,,,,,,6.85,7.75,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,69.0,54.0,60.0,64.0,63.0,67.0,69.0,66.0,,,,,,,,,,,,,Present
HT1019,Ritu,3,2,,,,,,,,,,9.35,8.64,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,92.0,89.0,87.0,93.0,86.0,94.0,84.0,81.0,,,,,,,,,,,,,Present
HT1000,Aarav,4,1,,,,,,,,,,9.4,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,88.0,100.0,91.0,83.0,92.0,97.0,89.0,,,,,Present
HT1001,Ananya,4,1,,,,,,,,,,9.65,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,90.0,96.0,89.0,98.0,95.0,80.0,92.0,,,,,Present
HT1002,Rohan,4,1,,,,,,,,,,9.3,9.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,83.0,83.0,90.0,83.0,84.0,82.0,80.0,,,,,Present
HT1003,Sneha,4,1,,,,,,,,,,9.35,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,93.0,89.0,84.0,91.0,83.0,93.0,82.0,,,,,Present
HT1004,Karthik,4,1,,,,,,,,,,9.6,8.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,100.0,95.0,84.0,90.0,85.0,86.0,91.0,,,,,Present
HT1005,Pooja,4,1,,,,,,,,,,7.4,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,71.0,76.0,67.0,62.0,80.0,63.0,65.0,,,,,Present
HT1006,Rahul,4,1,,,,,,,,,,7.55,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,75.0,62.0,64.0,69.0,76.0,72.0,70.0,,,,,Present
HT1007,Neha,4,1,,,,,,,,,,7.55,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,62.0,60.0,72.0,75.0,84.0,67.0,66.0,,,,,Present
HT1008,Arjun,4,1,,,,,,,,,,9.65,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,85.0,92.0,95.0,92.0,95.0,87.0,93.0,,,,,Present
HT1009,Divya,4,1,,,,,,,,,,9.7,9.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,94.0,90.0,97.0,87.0,91.0,98.0,93.0,,,,,Present
HT1010,Suresh,4,1,,,,,,,,,,8.9,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,80.0,82.0,90.0,87.0,72.0,74.0,88.0,,,,,Present
HT1011,Priya,4,1,,,,,,,,,,8.5,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,77.0,83.0,77.0,80.0,78.0,82.0,82.0,,,,,Present
HT1012,Manoj,4,1,,,,,,,,,,9.7,8.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,93.0,94.0,81.0,87.0,95.0,96.0,93.0,,,,,Present
HT1013,Kavya,4,1,,,,,,,,,,7.85,8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,74.0,66.0,71.0,76.0,75.0,72.0,81.0,,,,,Present
HT1014,Nikhil,4,1,,,,,,,,,,9.7,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,100.0,88.0,91.0,85.0,95.0,92.0,92.0,,,,,Present
HT1015,Meena,4,1,,,,,,,,,,9.2,8.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,86.0,86.0,83.0,86.0,100.0,89.0,91.0,,,,,Present
HT1016,Varun,4,1,,,,,,,,,,9.3,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,96.0,89.0,86.0,87.0,88.0,87.0,88.0,,,,,Present
HT1017,Shreya,4,1,,,,,,,,,,8.15,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,71.0,71.0,74.0,78.0,72.0,76.0,70.0,,,,,Present
HT1018,Amit,4,1,,,,,,,,,,9.15,7.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,84.0,96.0,81.0,89.0,93.0,79.0,87.0,,,,,Present
HT1019,Ritu,4,1,,,,,,,,,,7.4,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,76.0,73.0,64.0,59.0,73.0,72.0,74.0,,,,,Present
HT1000,Aarav,4,2,,,,,,,,,,8.7,8.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,78.0,82.0,86.0,Present
HT1001,Ananya,4,2,,,,,,,,,,7.85,8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,77.0,70.0,72.0,Present
HT1002,Rohan,4,2,,,,,,,,,,7.15,8.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,75.0,66.0,66.0,Present
HT1003,Sneha,4,2,,,,,,,,,,9.0,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,82.0,87.0,89.0,Present
HT1004,Karthik,4,2,,,,,,,,,,9.85,8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,100.0,93.0,90.0,Present
HT1005,Pooja,4,2,,,,,,,,,,9.7,8.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,87.0,93.0,90.0,Present
HT1006,Rahul,4,2,,,,,,,,,,7.85,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,67.0,75.0,73.0,Present
HT1007,Neha,4,2,,,,,,,,,,9.45,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,92.0,96.0,89.0,Present
HT1008,Arjun,4,2,,,,,,,,,,7.3,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,69.0,72.0,67.0,Present
HT1009,Divya,4,2,,,,,,,,,,8.55,9.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,77.0,79.0,80.0,Present
HT1010,Suresh,4,2,,,,,,,,,,8.7,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,71.0,80.0,87.0,Present
HT1011,Priya,4,2,,,,,,,,,,10.0,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,97.0,91.0,98.0,Present
HT1012,Manoj,4,2,,,,,,,,,,8.45,8.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,79.0,91.0,73.0,Present
HT1013,Kavya,4,2,,,,,,,,,,8.3,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,83.0,80.0,76.0,Present
HT1014,Nikhil,4,2,,,,,,,,,,9.0,8.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,86.0,78.0,81.0,Present
HT1015,Meena,4,2,,,,,,,,,,8.85,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,81.0,82.0,80.0,Present
HT1016,Varun,4,2,,,,,,,,,,7.0,8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,68.0,65.0,66.0,Present
HT1017,Shreya,4,2,,,,,,,,,,8.45,8.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,84.0,86.0,78.0,Present
HT1018,Amit,4,2,,,,,,,,,,10.0,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,93.0,98.0,90.0,Present
HT1019,Ritu,4,2,,,,,,,,,,10.0,8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,92.0,97.0,95.0,Present
